-2.000000	2.000000
-1.998993	1.998993
-1.995973	1.995973
-1.990944	1.990944
-1.983910	1.983910
-1.974878	1.974878
-1.963857	1.963857
-1.950860	1.950860
-1.935897	1.935897
-1.918986	1.918986
-1.900142	1.900142
-1.879385	1.879385
-1.856736	1.856736
-1.832217	1.832217
-1.805853	1.805853
-1.777671	1.777671
-1.747699	1.747699
-1.715967	1.715967
-1.682507	1.682507
-1.647353	1.647353
-1.610541	1.610541
-1.572106	1.572106
-1.532089	1.532089
-1.490529	1.490529
-1.447468	1.447468
-1.402950	1.402950
-1.357019	1.357019
-1.309721	1.309721
-1.261105	1.261105
-1.211219	1.211219
-1.160114	1.160114
-1.107840	1.107840
-1.054451	1.054451
-1.000000	1.000000
-0.944542	0.944542
-0.888133	0.888133
-0.830830	0.830830
-0.772690	0.772690
-0.713772	0.713772
-0.654136	0.654136
-0.593841	0.593841
-0.532948	0.532948
-0.471518	0.471518
-0.409613	0.409613
-0.347296	0.347296
-0.284630	0.284630
-0.221676	0.221676
-0.158500	0.158500
-0.095164	0.095164
-0.031732	0.031732
0.031732	0.031732
0.095164	0.095164
0.158500	0.158500
0.221676	0.221676
0.284630	0.284630
0.347296	0.347296
0.409613	0.409613
0.471518	0.471518
0.532948	0.532948
0.593841	0.593841
0.654136	0.654136
0.713772	0.713772
0.772690	0.772690
0.830830	0.830830
0.888133	0.888133
0.944542	0.944542
1.000000	1.000000
1.054451	1.054451
1.107840	1.107840
1.160114	1.160114
1.211219	1.211219
1.261105	1.261105
1.309721	1.309721
1.357019	1.357019
1.402950	1.402950
1.447468	1.447468
1.490529	1.490529
1.532089	1.532089
1.572106	1.572106
1.610541	1.610541
1.647353	1.647353
1.682507	1.682507
1.715967	1.715967
1.747699	1.747699
1.777671	1.777671
1.805853	1.805853
1.832217	1.832217
1.856736	1.856736
1.879385	1.879385
1.900142	1.900142
1.918986	1.918986
1.935897	1.935897
1.950860	1.950860
1.963857	1.963857
1.974878	1.974878
1.983910	1.983910
1.990944	1.990944
1.995973	1.995973
1.998993	1.998993
2.000000	2.000000
